FIPS,STATE,2G,3G,4G_LTE,4G_Non_LTE,Other,ANY
020160001001033,AK,30.77,0.0,0.0,0.0,0.0,30.77
020160001001036,AK,25.24,0.0,0.0,0.0,0.0,25.24
020160001001037,AK,81.32,0.0,0.0,0.0,0.0,81.32
020160001001038,AK,99.96,0.0,0.0,0.0,0.0,99.96
020160001001040,AK,49.4,0.0,0.0,0.0,0.0,49.4
020160001001041,AK,33.72,0.0,0.0,0.0,0.0,33.72
020160001001042,AK,65.1,0.0,0.0,0.0,0.0,65.1
020160001001043,AK,31.61,0.0,0.0,0.0,0.0,31.61
020160001001044,AK,99.4,0.0,0.0,0.0,0.0,99.4
020160001001045,AK,0.06,0.0,0.0,0.0,0.0,0.06
020160001001051,AK,0.16,0.0,0.0,0.0,0.0,0.16
020160001001200,AK,4.53,0.0,0.0,0.0,0.0,4.53
020160001001211,AK,7.7,0.0,0.0,0.0,0.0,7.7
020160001001218,AK,2.0,0.0,0.0,0.0,0.0,2.0
020160001001233,AK,0.84,0.0,0.0,0.0,0.0,0.84
020160001001234,AK,39.02,0.0,0.0,0.0,0.0,39.02
020160001001235,AK,2.41,0.0,0.0,0.0,0.0,2.41
020160001001236,AK,96.49,0.0,0.0,0.0,0.0,96.49
020160001001237,AK,91.53,0.0,0.0,0.0,0.0,91.53
020160001001238,AK,95.28,0.0,0.0,0.0,0.0,95.28
020160001001239,AK,87.68,0.0,0.0,0.0,0.0,87.68
020160001001240,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001241,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001242,AK,83.67,0.0,0.0,0.0,0.0,83.67
020160001001243,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001244,AK,86.41,0.0,0.0,0.0,0.0,86.41
020160001001245,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001246,AK,66.13,0.0,0.0,0.0,0.0,66.13
020160001001247,AK,55.93,0.0,0.0,0.0,0.0,55.93
020160001001248,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001250,AK,77.07,0.0,0.0,0.0,0.0,77.07
020160001001251,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001252,AK,92.79,0.0,0.0,0.0,0.0,92.79
020160001001253,AK,99.96,0.0,0.0,0.0,0.0,99.96
020160001001254,AK,19.22,0.0,0.0,0.0,0.0,19.22
020160001001255,AK,29.17,0.0,0.0,0.0,0.0,29.17
020160001001256,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001257,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001258,AK,67.73,0.0,0.0,0.0,0.0,67.73
020160001001259,AK,88.11,0.0,0.0,0.0,0.0,88.11
020160001001260,AK,74.87,0.0,0.0,0.0,0.0,74.87
020160001001261,AK,93.44,0.0,0.0,0.0,0.0,93.44
020160001001262,AK,37.06,0.0,0.0,0.0,0.0,37.06
020160001001263,AK,16.04,0.0,0.0,0.0,0.0,16.04
020160001001266,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001267,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001268,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001269,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001270,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001271,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001272,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001273,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001274,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001275,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001276,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001277,AK,58.76,0.0,0.0,0.0,0.0,58.76
020160001001278,AK,87.87,0.0,0.0,0.0,0.0,87.87
020160001001279,AK,97.37,0.0,0.0,0.0,0.0,97.37
020160001001280,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001281,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001282,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001283,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001284,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001285,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001286,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001287,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001288,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001289,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001290,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001291,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001292,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001293,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001294,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001295,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001296,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001297,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001298,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001299,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001300,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001301,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001302,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001303,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001304,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001305,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001306,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001307,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001308,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001309,AK,98.4,0.0,0.0,0.0,0.0,98.4
020160001001310,AK,7.08,0.0,0.0,0.0,0.0,7.08
020160001001329,AK,9.1,0.0,0.0,0.0,0.0,9.1
020160001001330,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001331,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001332,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001352,AK,1.92,0.0,0.0,0.0,0.0,1.92
020160001001355,AK,2.14,0.0,0.0,0.0,0.0,2.14
020160001001357,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001381,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001382,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001383,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001388,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001404,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001405,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001406,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001407,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001408,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001409,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001410,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001411,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001412,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001413,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001414,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001415,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001416,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001417,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001449,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001450,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001451,AK,100.0,0.0,0.0,0.0,0.0,100.0
020160001001452,AK,100.0,0.0,0.0,0.0,0.0,100.0
